idx,y,cl_1,cl_2,cl_u,cl_ncor,cl_njet,V
0,-4.857142857142858,0.08710336950140027,0.0872322953681032,0.08693847003405096,0.08701704068491667,0.08580623411113486,100.0
1,-4.571428571428571,0.12190978316695084,0.12206983792507275,0.12159820950701385,0.12174971646403471,0.11981242772382181,100.0
2,-4.285714285714286,0.14292373603913608,0.1431032098687768,0.1424551046751285,0.14266782162855712,0.1400211857097851,100.0
3,-4.0,0.1573497988686268,0.15753217606379458,0.15667637479802926,0.15695262515918593,0.15348422702425715,100.0
4,-3.7142857142857144,0.1681297864758508,0.16829094901319547,0.16716456258727813,0.16750604941118302,0.16298504899007607,100.0
5,-3.4285714285714284,0.17690201334394243,0.17700226220183216,0.17549433193175026,0.17587948052328792,0.16990085300275187,100.0
6,-3.142857142857143,0.18489615202873907,0.18488864347867381,0.1827941519946643,0.18308060429034825,0.17492008868502493,100.0
7,-2.967741935483871,0.19168552750637058,0.19203013148723916,0.17325485579347488,0.1928516925197762,0.17694018455354918,102.8095733610822
8,-2.903225806451613,0.20023382152182023,0.20069369595674685,0.18500005925481072,0.20579843448719493,0.17816515942606295,107.86680541103016
9,-2.838709677419355,0.20459430128440137,0.20506742963044047,0.19618957678162177,0.21722522738181604,0.1791960927246291,112.17481789802287
10,-2.774193548387097,0.2084390665487645,0.2088894440673666,0.20613407842192477,0.22709376743145948,0.18012113436574861,115.73361082206033
11,-2.709677419354839,0.21191406176405853,0.2123267483103702,0.2145594045148961,0.2353021452241127,0.18097093629829705,118.54318418314253
12,-2.6451612903225805,0.21499805639197625,0.21536961751021172,0.22131187774113778,0.24175150449417834,0.181760493564038,120.6035379812695
13,-2.5806451612903225,0.21763216413229847,0.21796623790854178,0.2262905326713167,0.24636146368429981,0.18249876131351006,121.91467221644119
14,-2.5161290322580645,0.21975054258925217,0.22005521718817922,0.22942969216774267,0.24907557525293528,0.18319183133485098,122.47658688865764
15,-2.4516129032258065,0.22128826636147705,0.22157427196333043,0.23069454329202932,0.24986373514699184,0.18384422925428656,122.2892819979188
16,-2.387096774193548,0.22219371570931376,0.22247305398546927,0.2300800448698683,0.2487232960510747,0.18445952709932067,121.35275754422474
17,-2.32258064516129,0.22247289508053508,0.22275776487281704,0.22761057684697034,0.24567950623336646,0.18504066586463808,119.66701352757542
18,-2.258064516129032,0.22223967351324905,0.22254156790781357,0.22333976683551993,0.24078565361703044,0.185590140754638,117.23204994797084
19,-2.193548387096774,0.22144641249232158,0.2217747305257096,0.21735072536029224,0.2341234383385094,0.18611011548282014,114.047866805411
20,-2.129032258064516,0.22016579562903785,0.22052685158494786,0.20975785978959074,0.22580484062400488,0.18660249725096797,110.11446409989593
21,-2.064516129032258,0.21822466412554578,0.2186196001174653,0.20071440659986123,0.21597965847099773,0.18706898864584606,105.43184183142559
22,-2.0,0.21452446223361257,0.21494222622873643,0.19044554249059392,0.2048685887408055,0.18751112534745917,100.0
23,-1.935483870967742,0.21921562821133103,0.2196546279835765,0.20176755024213713,0.21695519091773358,0.1879303048203303,105.43184183142559
24,-1.870967741935484,0.22223924584922433,0.22269241930154954,0.21196164542846058,0.22784564788273445,0.18832780918773684,110.11446409989593
25,-1.8064516129032258,0.2246768043751579,0.22514843158291492,0.2207847939821265,0.23730204231171165,0.18870482442728936,114.04786680541102
26,-1.7419354838709677,0.2266847989946782,0.22718348755093448,0.22806637742739877,0.2451576928714288,0.18906245748493178,117.23204994797085
27,-1.6774193548387095,0.22817414147343615,0.22871074248644133,0.2336749333570352,0.2512839334442803,0.18940175271493964,119.66701352757542
28,-1.6129032258064515,0.2291761982326669,0.22976281560734668,0.2375104980856599,0.2555824488768006,0.18972370918358844,121.35275754422474
29,-1.5483870967741935,0.22956085873276155,0.23020945821884276,0.23950270031835083,0.2579832991732905,0.19002930092422118,122.2892819979188
30,-1.4838709677419355,0.22930584625007427,0.23002734860417026,0.2396104870764004,0.25844447053278324,0.19031950351902727,122.47658688865764
