,y,V1x_ib,V2x_ib,V1z_ib,V2z_ib,V1x_wt,V2x_wt,V1z_wt,V2z_wt
104,2.5230019280549456,16.15315340210364,-0.19398386762328138,17.617331091691874,-0.016943222430289173,-0.0016190873888074454,-0.0014240090194128962,-0.00019552217146030597,-9.341494452517159e-05
105,2.6708635594100487,16.419057689910783,-0.18720102966298668,19.53161565406484,-0.01634139718389685,-0.0016359734331577562,-0.001422019615131166,-0.00019967772470005243,-9.139961739039878e-05
106,2.818725190765151,15.494443313659708,-0.1807884471379664,20.363411368873457,-0.015779301072214667,-0.0016528773847506706,-0.0014195084755852258,-0.00020395129843853301,-8.944056320285184e-05
107,2.966586822120254,14.522767108764542,-0.17471750862872815,21.31517443222022,-0.015253144526854128,-0.0016697877780772726,-0.0014165040946119898,-0.00020834738247630123,-8.753561035127441e-05
108,3.1144484534753563,13.112872331644963,-0.168962231308523,21.817264869327573,-0.014759517286440121,-0.0016866924257314196,-0.0014130336899285578,-0.00021287069046908668,-8.56826941364272e-05
109,3.2623100848304594,11.372778487680955,-0.1634990030460503,21.873469470084657,-0.014295352576999753,-0.0017035783889574716,-0.001409123259569406,-0.00021752617347402532,-8.387985085186797e-05
110,3.4101717161855616,9.621027841446523,-0.15830634990296888,21.912820906280515,-0.01385789416902295,-0.001720431948174805,-0.0014047976357068853,-0.00022231903439090954,-8.212521220605873e-05
111,3.5580333475406647,8.268580938892399,-0.15336472675214854,22.9462998502305,-0.013444666220706857,-0.001737238573693494,-0.00140008053598523,-0.00022725474335438751,-8.041700006601192e-05
112,3.705894978895767,6.360271241309595,-0.1486563288617299,22.73353190965832,-0.013053445772034537,-0.0017539828968797233,-0.0013949946124911239,-0.00023233905413610746,-7.875352150237564e-05
113,3.85375661025087,4.875125347189177,-0.14416492243157508,24.12299896460759,-0.012682237728247728,-0.0017706486820783828,-0.0013895614984780645,-0.00023757802161570796,-7.713316412143658e-05
114,4.001618241605973,-0.7887379891778236,-0.13987569222075577,0.654253275741078,-0.012329252158411986,-0.0017872187996591624,-0.0013838018529545415,-0.0002429780203831257,-7.55543916642445e-05
115,4.149479872961075,-0.8856127028789244,-0.13577510455915484,-0.004514090725286359,-0.01199288373109923,-0.001803675200618797,-0.0013777354032412043,-0.0002485457645341519,-7.401573985916076e-05
116,4.297341504316179,-0.8778066034078342,-0.1318507841876214,-4.63393429531167e-15,-0.011671693111735805,-0.0018199988932538415,-0.0013713809855962478,-0.0002542883287205345,-7.251581251330468e-05
117,4.445203135671282,-0.8683161253129158,-0.12809140351592407,0.004307734377266094,-0.011364390152710065,-0.0018361699225068063,-0.0013647565840028309,-0.00026021317051851567,-7.105327782731493e-05
118,4.5930647670263856,-0.9153912771567895,-0.12448658302387931,0.3762430644153325,-0.011069818716392274,-0.0018521673526989049,-0.001357879367207761,-0.00026632815417251886,-6.962686492257914e-05
119,4.740926398381488,4.929366566367941,-0.12102680165741098,-24.135020656984512,-0.01078694298163023,-0.0018679692544850124,-0.001350765724096065,-0.0002726415757711533,-6.82353605668141e-05
120,4.888788029736592,6.431329695443651,-0.11770331618745754,-22.7456385493811,-0.010514835095317462,-0.00188355269701625,-0.001343431297481175,-0.0002791621899039839,-6.68776060876953e-05
121,5.036649661091694,8.347902006880918,-0.11450808860564815,-22.93747960873072,-0.010252664041751982,-0.0018988937464615987,-0.0013358910163869546,-0.00028589923784119866,-6.555249446226898e-05
122,5.184511292446798,9.716936878434122,-0.1114337207268338,-21.911012091357335,-0.009999685613338805,-0.001913967472244093,-0.0013281591268931962,-0.00029286247726409295,-6.425896757357213e-05
123,5.3323729238019,11.487629824208762,-0.10847339525541655,-21.88522357422806,-0.009755233376550154,-0.0019287479625770749,-0.0013202492216131518,-0.00030006221356136843,-6.299601362324761e-05
124,5.480234555157004,13.242201462689204,-0.10562082265058248,-21.834026462384212,-0.009518710536784025,-0.0019432083511612295,-0.0013121742678676278,-0.00030750933268121236,-6.176266469158759e-05
125,5.628096186512106,14.67527483405874,-0.10287019319571009,-21.34994541059639,-0.009289582614800472,-0.001957320857222859,-0.0013039466346170007,-0.00031521533550711404,-6.055799443713699e-05
126,5.77595781786721,15.639749079988306,-0.10021613374006447,-20.377177841676648,-0.00906737085573188,-0.0019710568414491496,-0.0012955781182098186,-0.0003231923736821435,-5.938111592610298e-05
127,5.923819449222313,16.572467118052327,-0.09765366863708641,-19.54537190337996,-0.008851646299284104,-0.00198438688081923,-0.0012870799670026802,-0.000331453286769459,-5.823117958553887e-05
128,6.071681080577417,16.26043940297234,-0.095178184453785,-17.582426998420633,-0.008642024446670254,-0.0019972808658470665,-0.0012784629049046527,-0.00034001164057347413,-5.710737127252117e-05
129,6.219542711932519,13.633213881253813,-0.09278539807054323,-13.718063854945814,-0.008438160466101437,-0.0020097081243656808,-0.0012697371538952203,-0.0003488817663716905,-5.6008910452187894e-05
130,6.367404343287619,7.727307547568159,-0.09047132783061582,-7.486830822421087,-0.008239744884342369,-0.0020216375767014676,-0.001260912455564,-0.0003580788007220067,-5.493504847906385e-05
131,6.457692255156555,-2.766424567452424,-0.0890954115956488,1.8500818503145435,-0.008121146553354273,-0.002028663808430014,-0.0012554792136606954,-0.0003638622913649128,-5.429110990914358e-05
132,6.522623637831419,-1.7792609450363794,-0.08812274722291907,1.0171013194180771,-0.00803701421914536,-0.00203359083659812,-0.0012515523265382356,-0.00036810268929666806,-5.3833430701452054e-05
133,6.650513495975436,-0.6638111262895914,-0.08624696261983293,0.09617030461987093,-0.007874054804570742,-0.002042975781289814,-0.0012437732266103803,-0.00037665938973123806,-5.2944983903082224e-05
134,6.837475960964291,-0.5573830492439884,-0.08359654142526282,0.030136565182282374,-0.007642131772767565,-0.0020558976053057496,-0.001232303993827665,-0.00038967790801234473,-5.1676448795887326e-05
135,7.077830272906871,-0.5259411587106069,-0.08034065960267359,0.02938452235563955,-0.007354399866678709,-0.002071028791393204,-0.0012174135778423218,-0.0004073588935507048,-5.0096642204586916e-05
136,7.364273387659948,-0.49153912468926697,-0.07666792079235811,0.029296513744411088,-0.007025851623238002,-0.0020867296601857284,-0.001199494612800144,-0.0004299315741892813,-4.8285505587430174e-05
137,7.688101876128963,-0.45485011692409316,-0.07276656726827492,0.028788620209347505,-0.00667196562726167,-0.0021012172568565034,-0.0011790687188337483,-0.00045760919957902566,-4.632693070638995e-05
