Polar,	Run,	AoA,	Vinf,	rhoInf,	Tinf,	Pinf,		n,	J=Vinf/nD,	r/R,	phi,	CpT
[-],[-],[deg],[m/s],[kg/m3],[K],[Pa],[Hz],[-],[-],[deg],[-]
3,24,-0.20,39.99,1.1993,296.24,101985.8,188.30,0.8961,0.9283,180,1.2476
3,25,-0.20,39.99,1.1993,296.25,101986.0,188.30,0.8961,0.9451,180,1.2290
3,26,-0.20,39.99,1.1994,296.23,101985.9,188.30,0.8962,0.9620,180,1.1933
3,27,-0.20,40.00,1.1993,296.25,101985.8,188.30,0.8962,0.9789,180,1.0227
3,28,-0.20,39.99,1.1993,296.24,101986.0,188.30,0.8960,0.9958,180,0.9995
3,29,-0.20,39.99,1.1994,296.23,101984.9,188.30,0.8961,1.0127,180,0.9996
3,30,-0.20,39.99,1.1994,296.23,101984.8,188.30,0.8961,1.0295,180,0.9996
3,31,-0.20,39.99,1.1993,296.24,101985.0,188.30,0.8961,1.0464,180,0.9995
3,32,-0.20,39.99,1.1994,296.23,101984.9,188.30,0.8961,1.0633,180,0.9995
3,33,-0.20,39.99,1.1994,296.23,101985.0,188.30,0.8961,1.0970,180,0.9995
3,34,-0.20,39.99,1.1993,296.25,101984.9,188.30,0.8961,1.1308,180,0.9994
3,35,-0.20,39.99,1.1994,296.23,101985.9,188.30,0.8962,1.1646,180,0.9995
4,1,-0.20,39.99,1.2024,295.63,102034.2,211.90,0.7962,0.3038,180,0.8009
4,2,-0.20,39.99,1.2024,295.63,102034.1,211.90,0.7963,0.3207,180,0.7889
4,3,-0.20,39.98,1.2024,295.61,102033.1,211.90,0.7962,0.3376,180,0.7483
4,4,-0.20,39.98,1.2024,295.61,102033.2,211.90,0.7961,0.3544,180,0.7495
4,5,-0.20,39.98,1.2024,295.61,102033.2,211.90,0.7961,0.3713,180,0.7923
4,6,-0.20,39.99,1.2024,295.61,102033.2,211.90,0.7962,0.3882,180,0.8649
4,7,-0.20,39.99,1.2024,295.61,102033.2,211.90,0.7962,0.4219,180,1.0803
4,8,-0.20,39.99,1.2024,295.61,102033.2,211.90,0.7962,0.4557,180,1.2301
4,9,-0.20,39.99,1.2024,295.61,102033.2,211.90,0.7962,0.4895,180,1.3253
4,10,-0.20,39.99,1.2024,295.61,102033.0,211.90,0.7963,0.5232,180,1.4115
4,11,-0.20,39.99,1.2024,295.61,102033.2,211.90,0.7962,0.5570,180,1.4794
4,12,-0.20,39.99,1.2024,295.61,102033.3,211.90,0.7963,0.5907,180,1.5244
4,13,-0.20,39.99,1.2025,295.60,102034.2,211.90,0.7963,0.6245,180,1.5632
4,14,-0.20,39.99,1.2025,295.59,102034.3,211.90,0.7962,0.6582,180,1.5903
4,15,-0.20,39.99,1.2025,295.59,102034.4,211.90,0.7963,0.6920,180,1.6116
4,16,-0.20,39.99,1.2025,295.59,102035.0,211.90,0.7963,0.7257,180,1.6248
4,17,-0.20,39.99,1.2025,295.59,102034.1,211.90,0.7962,0.7595,180,1.6289
4,18,-0.20,39.99,1.2026,295.58,102034.3,211.90,0.7963,0.7932,180,1.6264
4,19,-0.20,39.99,1.2025,295.59,102034.2,211.90,0.7963,0.8270,180,1.6123
4,20,-0.20,39.99,1.2026,295.58,102035.5,211.90,0.7962,0.8608,180,1.5858
4,21,-0.20,39.99,1.2026,295.59,102036.2,211.90,0.7963,0.8776,180,1.5675
4,22,-0.20,39.99,1.2026,295.58,102036.1,211.90,0.7963,0.8945,180,1.5443
4,23,-0.20,39.99,1.2026,295.58,102036.0,211.90,0.7963,0.9114,180,1.5178
4,24,-0.20,39.99,1.2026,295.58,102035.1,211.90,0.7963,0.9283,180,1.4878
4,25,-0.20,39.99,1.2026,295.58,102035.3,211.90,0.7963,0.9451,180,1.4464
4,26,-0.20,39.99,1.2026,295.58,102036.2,211.90,0.7962,0.9620,180,1.2277
4,27,-0.20,39.99,1.2026,295.57,102036.3,211.90,0.7962,0.9789,180,1.0134
4,28,-0.20,39.99,1.2026,295.57,102036.1,211.90,0.7962,0.9958,180,1.0003
4,29,-0.20,39.99,1.2026,295.57,102035.2,211.90,0.7962,1.0127,180,0.9998
4,30,-0.20,39.99,1.2026,295.57,102035.3,211.90,0.7963,1.0295,180,0.9996
4,31,-0.20,39.99,1.2026,295.57,102035.1,211.90,0.7963,1.0464,180,0.9996
4,32,-0.20,40.00,1.2026,295.57,102035.4,211.90,0.7965,1.0633,180,0.9995
4,33,-0.20,40.00,1.2026,295.57,102035.2,211.90,0.7965,1.0970,180,0.9994
4,34,-0.20,40.00,1.2026,295.57,102035.1,211.90,0.7966,1.1308,180,0.9994
4,35,-0.20,40.01,1.2026,295.57,102035.0,211.90,0.7966,1.1646,180,0.9994
5,1,-0.20,39.99,1.1996,296.15,101974.8,242.10,0.6970,0.3038,180,0.8417
5,2,-0.20,39.99,1.1996,296.14,101974.9,242.10,0.6970,0.3207,180,0.8972
5,3,-0.20,40.00,1.1996,296.15,101974.8,242.10,0.6971,0.3376,180,0.8806
5,4,-0.20,40.00,1.1996,296.15,101975.8,242.10,0.6971,0.3544,180,0.8891
5,5,-0.20,39.99,1.1996,296.14,101974.6,242.10,0.6970,0.3713,180,0.9335
5,6,-0.20,39.98,1.1996,296.15,101974.8,242.10,0.6968,0.3882,180,1.0094
5,7,-0.20,39.98,1.1996,296.14,101974.8,242.10,0.6969,0.4219,180,1.2520
5,8,-0.20,39.98,1.1996,296.13,101974.7,242.10,0.6969,0.4557,180,1.4355
5,9,-0.20,39.98,1.1996,296.13,101974.8,242.10,0.6968,0.4895,180,1.5974
5,10,-0.20,39.98,1.1996,296.13,101974.8,242.10,0.6968,0.5232,180,1.7218
5,11,-0.20,39.98,1.1996,296.13,101974.6,242.10,0.6969,0.5570,180,1.8128
5,12,-0.20,39.99,1.1996,296.13,101974.7,242.10,0.6969,0.5907,180,1.8748
5,13,-0.20,39.99,1.1996,296.13,101974.7,242.10,0.6969,0.6245,180,1.9218
5,14,-0.20,39.99,1.1996,296.13,101974.6,242.10,0.6969,0.6582,180,1.9538
5,15,-0.20,39.99,1.1996,296.13,101974.7,242.10,0.6969,0.6920,180,1.9721
5,16,-0.20,39.98,1.1996,296.13,101974.8,242.10,0.6968,0.7257,180,1.9875
