polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,-2.0,0.0,28.98,298.1,101606.0,1.188,346.10,35.74,0.1562,1.9948,0.1302,0.0327,0.3805,0.0479,0.6825
1,2,0.0,0.0,28.97,298.2,101607.1,1.187,346.15,35.82,0.1564,1.9905,0.1307,0.0330,0.3807,0.0483,0.6832
1,3,2.0,0.0,28.97,298.2,101607.9,1.187,346.17,35.78,0.1563,1.9928,0.1318,0.0332,0.3827,0.0484,0.6863
1,4,4.0,0.0,28.98,298.2,101604.8,1.187,346.18,35.65,0.1559,2.0003,0.1349,0.0337,0.3859,0.0482,0.6992
1,5,6.0,0.0,28.98,298.2,101608.6,1.187,346.19,35.49,0.1554,2.0091,0.1392,0.0345,0.3896,0.0480,0.7179
1,6,8.0,0.0,28.99,298.3,101614.7,1.187,346.24,35.28,0.1547,2.0215,0.1450,0.0355,0.3953,0.0479,0.7414
1,7,10.0,0.0,28.93,298.4,101608.4,1.186,346.32,35.03,0.1538,2.0321,0.1525,0.0369,0.4013,0.0478,0.7721
1,8,12.0,0.0,28.93,298.7,101603.5,1.185,346.45,34.76,0.1529,2.0480,0.1610,0.0384,0.4078,0.0475,0.8088
1,9,14.0,0.0,28.94,298.9,101605.6,1.184,346.60,34.51,0.1521,2.0639,0.1726,0.0405,0.4171,0.0474,0.8541
1,10,16.0,0.0,28.87,299.4,101610.0,1.182,346.88,35.57,0.1552,1.9972,0.2077,0.0521,0.4628,0.0581,0.8959
1,11,18.0,0.0,28.86,299.5,101611.0,1.182,346.96,35.34,0.1544,2.0092,0.2163,0.0536,0.4701,0.0580,0.9243
1,12,20.0,0.0,28.88,299.7,101612.1,1.181,347.06,35.02,0.1534,2.0294,0.2249,0.0546,0.4794,0.0574,0.9520
1,13,22.0,0.0,28.84,300.0,101613.5,1.180,347.22,35.39,0.1544,2.0055,0.2411,0.0599,0.5026,0.0623,0.9619
1,14,24.0,0.0,28.83,300.2,101612.4,1.179,347.33,35.08,0.1534,2.0220,0.2493,0.0610,0.5149,0.0623,0.9790
1,15,24.0,0.0,28.83,300.3,101614.0,1.179,347.39,35.09,0.1534,2.0218,0.2497,0.0611,0.5150,0.0623,0.9801
1,16,22.0,0.0,28.80,300.4,101614.4,1.178,347.45,35.47,0.1545,1.9985,0.2419,0.0606,0.5038,0.0631,0.9596
1,17,20.0,0.0,28.86,300.5,101614.0,1.178,347.48,35.81,0.1556,1.9831,0.2347,0.0597,0.4949,0.0635,0.9403
1,18,18.0,0.0,28.82,300.5,101613.9,1.178,347.50,35.93,0.1559,1.9732,0.2224,0.0571,0.4790,0.0623,0.9161
1,19,16.0,0.0,28.85,300.5,101615.4,1.178,347.49,35.64,0.1551,1.9917,0.2086,0.0526,0.4653,0.0589,0.8925
1,20,14.0,0.0,28.84,300.4,101610.3,1.178,347.47,35.36,0.1542,2.0063,0.1887,0.0469,0.4425,0.0548,0.8554
1,21,12.0,0.0,28.83,300.4,101613.4,1.178,347.46,35.48,0.1545,1.9991,0.1786,0.0447,0.4349,0.0544,0.8212
1,22,10.0,0.0,28.82,300.4,101612.2,1.178,347.46,35.72,0.1553,1.9850,0.1713,0.0435,0.4294,0.0549,0.7917
