polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,-2.0,0.0,28.95,298.7,101640.5,1.185,346.48,32.39,0.1457,2.1994,0.0260,0.0054,0.2051,0.0193,0.2786
1,2,0.0,0.0,28.96,298.9,101642.8,1.185,346.60,32.44,0.1458,2.1971,0.0282,0.0058,0.2064,0.0195,0.2999
1,3,2.0,0.0,28.95,299.0,101640.0,1.184,346.67,32.42,0.1457,2.1978,0.0307,0.0064,0.2080,0.0196,0.3250
1,4,4.0,0.0,28.98,299.2,101643.0,1.183,346.75,32.30,0.1454,2.2075,0.0347,0.0071,0.2098,0.0195,0.3651
1,5,6.0,0.0,28.91,299.5,101645.0,1.182,346.94,32.48,0.1457,2.1899,0.0527,0.0110,0.2381,0.0227,0.4846
1,6,8.0,0.0,28.91,299.7,101645.2,1.181,347.08,32.27,0.1450,2.2041,0.0596,0.0123,0.2458,0.0230,0.5346
1,7,10.0,0.0,28.91,300.0,101648.2,1.180,347.24,32.34,0.1452,2.1993,0.0810,0.0167,0.2778,0.0261,0.6414
1,8,12.0,0.0,28.88,300.1,101648.0,1.180,347.29,32.38,0.1452,2.1944,0.1047,0.0217,0.3131,0.0296,0.7338
1,9,14.0,0.0,28.89,300.1,101646.9,1.180,347.29,32.57,0.1458,2.1828,0.1304,0.0274,0.3502,0.0337,0.8126
1,10,16.0,0.0,28.89,300.1,101650.4,1.180,347.31,32.82,0.1465,2.1661,0.1557,0.0332,0.3846,0.0378,0.8764
1,11,18.0,0.0,28.87,300.2,101646.8,1.180,347.33,32.42,0.1453,2.1911,0.1665,0.0347,0.3975,0.0378,0.9173
1,12,20.0,0.0,28.85,300.2,101646.4,1.179,347.35,32.59,0.1458,2.1777,0.1884,0.0397,0.4281,0.0414,0.9577
1,13,22.0,0.0,28.85,300.3,101651.2,1.179,347.37,32.29,0.1448,2.1982,0.1981,0.0410,0.4414,0.0416,0.9862
1,14,24.0,0.0,28.86,300.3,101650.9,1.179,347.37,32.67,0.1460,2.1738,0.2180,0.0461,0.4710,0.0459,1.0057
1,15,24.0,0.0,28.84,300.3,101649.1,1.179,347.39,31.88,0.1436,2.2262,0.2075,0.0419,0.4559,0.0413,1.0130
1,16,22.0,0.0,28.84,300.3,101651.2,1.179,347.40,32.34,0.1450,2.1945,0.1988,0.0413,0.4426,0.0419,0.9849
1,17,20.0,0.0,28.86,300.3,101652.8,1.179,347.41,32.02,0.1440,2.2180,0.1771,0.0360,0.4123,0.0378,0.9522
1,18,18.0,0.0,28.88,300.3,101651.1,1.179,347.42,32.48,0.1454,2.1877,0.1668,0.0348,0.3993,0.0381,0.9134
1,19,16.0,0.0,28.87,300.4,101649.7,1.179,347.43,32.26,0.1448,2.2014,0.1428,0.0295,0.3669,0.0344,0.8567
1,20,14.0,0.0,28.87,300.4,101658.5,1.179,347.46,32.10,0.1443,2.2132,0.1179,0.0241,0.3327,0.0307,0.7841
1,21,12.0,0.0,28.86,300.4,101650.7,1.179,347.46,32.08,0.1442,2.2134,0.0944,0.0193,0.2989,0.0276,0.6995
1,22,10.0,0.0,28.89,300.4,101649.7,1.179,347.48,32.46,0.1454,2.1902,0.0838,0.0175,0.2855,0.0272,0.6425
1,23,8.0,0.0,28.85,300.5,101649.5,1.179,347.49,31.94,0.1438,2.2223,0.0491,0.0100,0.2280,0.0208,0.4790
1,24,6.0,0.0,28.87,300.5,101653.4,1.179,347.49,32.15,0.1444,2.2097,0.0438,0.0090,0.2208,0.0205,0.4387
