polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,-2.0,0.0,28.99,297.6,101529.5,1.188,345.84,44.49,0.1844,1.6034,0.2893,0.1125,0.6171,0.1497,0.7516
1,2,-1.0,0.0,29.02,297.8,101526.7,1.188,345.93,44.56,0.1846,1.6025,0.2911,0.1133,0.6181,0.1502,0.7546
1,3,0.0,0.0,29.01,297.9,101529.0,1.187,346.02,44.55,0.1845,1.6025,0.2920,0.1137,0.6182,0.1502,0.7570
1,4,1.0,0.0,29.00,298.1,101526.9,1.187,346.11,44.59,0.1846,1.6003,0.2930,0.1144,0.6184,0.1509,0.7583
1,5,2.0,0.0,28.97,298.2,101530.6,1.186,346.21,44.57,0.1844,1.5990,0.2941,0.1150,0.6186,0.1513,0.7602
1,6,3.0,0.0,28.98,298.4,101530.2,1.185,346.32,44.58,0.1844,1.5992,0.2948,0.1153,0.6189,0.1513,0.7619
1,7,4.0,0.0,28.98,298.6,101533.6,1.185,346.42,44.61,0.1845,1.5985,0.2968,0.1161,0.6198,0.1517,0.7654
1,8,5.0,0.0,28.96,298.7,101534.3,1.184,346.48,44.61,0.1844,1.5974,0.2985,0.1170,0.6203,0.1522,0.7686
1,9,6.0,0.0,28.96,298.8,101533.2,1.184,346.50,44.62,0.1844,1.5972,0.2998,0.1175,0.6208,0.1523,0.7715
1,10,7.0,0.0,28.97,298.8,101536.1,1.184,346.53,44.62,0.1844,1.5975,0.3009,0.1179,0.6206,0.1522,0.7745
1,11,8.0,0.0,28.99,298.8,101538.2,1.184,346.53,44.64,0.1845,1.5977,0.3023,0.1184,0.6204,0.1521,0.7785
1,12,9.0,0.0,28.98,298.8,101535.7,1.184,346.53,44.69,0.1847,1.5954,0.3041,0.1195,0.6201,0.1527,0.7825
1,13,10.0,0.0,28.99,298.8,101537.7,1.184,346.54,44.72,0.1848,1.5949,0.3060,0.1203,0.6197,0.1528,0.7874
1,14,11.0,0.0,28.95,298.8,101536.3,1.184,346.56,44.77,0.1849,1.5909,0.3081,0.1217,0.6192,0.1538,0.7917
1,15,13.0,0.0,28.95,298.9,101538.2,1.183,346.58,44.79,0.1849,1.5902,0.3093,0.1223,0.6183,0.1537,0.7956
1,16,14.0,0.0,28.95,298.9,101540.4,1.183,346.59,44.87,0.1852,1.5876,0.3089,0.1225,0.6169,0.1542,0.7949
1,17,15.0,0.0,28.93,298.9,101536.7,1.183,346.61,44.91,0.1853,1.5852,0.3087,0.1229,0.6163,0.1547,0.7941
1,18,16.0,0.0,28.92,298.9,101537.8,1.183,346.62,44.93,0.1853,1.5838,0.3087,0.1231,0.6162,0.1551,0.7935
1,19,17.0,0.0,28.91,298.9,101536.2,1.183,346.62,44.93,0.1853,1.5837,0.3086,0.1230,0.6166,0.1552,0.7925
1,20,18.0,0.0,28.90,299.0,101540.2,1.183,346.63,44.90,0.1852,1.5835,0.3086,0.1231,0.6178,0.1556,0.7909
1,21,19.0,0.0,28.90,299.0,101538.8,1.183,346.64,44.19,0.1829,1.6096,0.3050,0.1177,0.6129,0.1470,0.8010
1,22,20.0,0.0,28.88,299.0,101541.9,1.183,346.64,44.06,0.1824,1.6126,0.3056,0.1175,0.6163,0.1469,0.7997
1,23,21.0,0.0,28.89,299.0,101538.2,1.183,346.65,43.94,0.1820,1.6182,0.3062,0.1169,0.6202,0.1464,0.7990
1,24,22.0,0.0,28.92,299.0,101541.3,1.183,346.65,43.81,0.1817,1.6241,0.3068,0.1163,0.6239,0.1456,0.7986
1,25,23.0,0.0,28.90,299.0,101539.3,1.183,346.66,43.65,0.1811,1.6291,0.3079,0.1160,0.6286,0.1454,0.7980
1,26,24.0,0.0,28.90,299.0,101540.7,1.183,346.66,43.51,0.1806,1.6345,0.3096,0.1159,0.6335,0.1451,0.7987
1,27,25.0,0.0,28.89,299.0,101540.0,1.183,346.67,44.69,0.1845,1.5909,0.3179,0.1256,0.6489,0.1612,0.7788
1,28,25.0,0.0,28.90,299.1,101541.6,1.183,346.69,44.75,0.1847,1.5895,0.3178,0.1258,0.6490,0.1616,0.7780
1,29,24.0,0.0,28.92,299.1,101539.7,1.183,346.69,44.89,0.1852,1.5850,0.3161,0.1258,0.6449,0.1619,0.7764
1,30,23.0,0.0,28.91,299.1,101540.3,1.183,346.70,44.35,0.1834,1.6040,0.3115,0.1211,0.6356,0.1540,0.7859
1,31,22.0,0.0,28.91,299.1,101541.0,1.183,346.69,44.49,0.1838,1.5991,0.3104,0.1214,0.6313,0.1544,0.7862
1,32,21.0,0.0,28.89,299.1,101543.0,1.183,346.70,44.62,0.1842,1.5933,0.3097,0.1220,0.6275,0.1551,0.7865
1,33,20.0,0.0,28.91,299.1,101543.2,1.183,346.70,44.74,0.1847,1.5900,0.3086,0.1221,0.6235,0.1551,0.7871
1,34,19.0,0.0,28.90,299.1,101544.2,1.183,346.71,44.88,0.1851,1.5846,0.3083,0.1228,0.6200,0.1558,0.7880
1,35,18.0,0.0,28.92,299.1,101544.6,1.183,346.72,44.95,0.1853,1.5829,0.3084,0.1231,0.6179,0.1558,0.7900
1,36,17.0,0.0,28.91,299.2,101544.7,1.182,346.73,44.34,0.1833,1.6042,0.3041,0.1182,0.6105,0.1479,0.7992
1,37,16.0,0.0,28.90,299.2,101545.0,1.182,346.74,44.35,0.1833,1.6033,0.3041,0.1183,0.6099,0.1480,0.7995
1,38,15.0,0.0,28.89,299.2,101544.5,1.182,346.74,44.35,0.1833,1.6030,0.3043,0.1184,0.6104,0.1482,0.7990
1,39,14.0,0.0,28.89,299.2,101545.0,1.182,346.75,44.30,0.1832,1.6047,0.3049,0.1184,0.6117,0.1480,0.8000
1,40,13.0,0.0,28.97,299.2,101545.7,1.182,346.75,44.28,0.1832,1.6100,0.3043,0.1174,0.6125,0.1468,0.8000
1,41,12.0,0.0,28.97,299.2,101545.8,1.182,346.76,44.26,0.1831,1.6107,0.3028,0.1167,0.6134,0.1468,0.7953
1,42,12.0,0.0,28.95,299.2,101545.5,1.182,346.77,44.26,0.1831,1.6095,0.3028,0.1169,0.6134,0.1471,0.7944
1,43,11.0,0.0,28.91,299.2,101544.0,1.182,346.77,44.24,0.1830,1.6083,0.3011,0.1164,0.6142,0.1476,0.7886
1,44,10.0,0.0,28.95,299.2,101544.9,1.182,346.77,44.20,0.1829,1.6117,0.2992,0.1152,0.6147,0.1468,0.7845
1,45,9.0,0.0,28.95,299.2,101546.3,1.182,346.78,44.19,0.1829,1.6121,0.2979,0.1146,0.6155,0.1469,0.7803
1,46,8.0,0.0,28.94,299.2,101545.1,1.182,346.79,44.76,0.1847,1.5912,0.3027,0.1196,0.6230,0.1546,0.7732
1,47,7.0,0.0,28.95,299.3,101545.9,1.182,346.80,44.81,0.1849,1.5898,0.3014,0.1193,0.6229,0.1550,0.7693
1,48,6.0,0.0,28.96,299.3,101544.0,1.182,346.80,44.82,0.1849,1.5902,0.3011,0.1191,0.6227,0.1548,0.7691
1,49,6.0,0.0,28.98,299.3,101544.4,1.182,346.81,44.83,0.1850,1.5908,0.2999,0.1185,0.6225,0.1546,0.7663
1,50,5.0,0.0,28.95,299.3,101545.5,1.182,346.82,44.84,0.1850,1.5886,0.2985,0.1183,0.6223,0.1552,0.7622
1,51,4.0,0.0,28.95,299.3,101545.3,1.182,346.84,44.85,0.1850,1.5883,0.2974,0.1179,0.6218,0.1552,0.7599
1,52,3.0,0.0,28.97,299.3,101548.3,1.182,346.85,44.86,0.1851,1.5887,0.2968,0.1176,0.6216,0.1550,0.7586
1,53,2.0,0.0,28.98,299.4,101548.0,1.182,346.85,44.86,0.1851,1.5893,0.2963,0.1173,0.6219,0.1549,0.7572
1,54,1.0,0.0,28.96,299.5,101550.7,1.181,346.91,44.14,0.1826,1.6141,0.2900,0.1113,0.6171,0.1467,0.7585
1,55,0.0,0.0,28.95,299.5,101557.9,1.181,346.92,44.15,0.1827,1.6137,0.2899,0.1113,0.6174,0.1469,0.7576
