polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,-2.0,0.0,28.96,297.6,101613.8,1.190,345.81,29.84,0.1384,2.3880,-0.0728,-0.0128,0.0227,0.0017,-7.6637
1,2,0.0,0.0,28.96,298.2,101616.0,1.187,346.17,29.84,0.1382,2.3878,-0.0698,-0.0122,0.0240,0.0018,-6.9472
1,3,2.0,0.0,28.90,298.4,101612.5,1.186,346.31,29.77,0.1379,2.3885,-0.0682,-0.0119,0.0238,0.0017,-6.8406
1,4,4.0,0.0,28.90,298.6,101615.5,1.185,346.42,29.64,0.1374,2.3990,-0.0668,-0.0116,0.0254,0.0018,-6.3204
1,5,6.0,0.0,28.94,298.7,101618.2,1.185,346.49,29.26,0.1364,2.4341,-0.0678,-0.0114,0.0254,0.0018,-6.4860
1,6,8.0,0.0,28.88,299.2,101617.3,1.183,346.76,29.67,0.1374,2.3950,-0.0262,-0.0046,0.0963,0.0070,-0.6520
1,7,10.0,0.0,28.86,299.3,101615.9,1.183,346.84,29.43,0.1366,2.4136,-0.0079,-0.0014,0.1292,0.0092,-0.1484
1,8,12.0,0.0,28.85,299.3,101618.4,1.183,346.83,29.87,0.1379,2.3766,0.0340,0.0060,0.2001,0.0149,0.4037
1,9,14.0,0.0,28.86,299.4,101619.3,1.182,346.87,29.73,0.1375,2.3881,0.0598,0.0105,0.2425,0.0178,0.5886
1,10,16.0,0.0,28.87,299.5,101620.7,1.182,346.92,29.67,0.1373,2.3938,0.0898,0.0157,0.2851,0.0208,0.7535
1,11,18.0,0.0,28.87,299.5,101617.7,1.182,346.95,29.76,0.1375,2.3870,0.1178,0.0207,0.3261,0.0240,0.8621
1,12,20.0,0.0,28.87,299.6,101619.8,1.182,346.97,29.94,0.1381,2.3722,0.1447,0.0257,0.3659,0.0274,0.9380
1,13,22.0,0.0,28.85,299.6,101622.7,1.182,346.98,29.51,0.1368,2.4053,0.1571,0.0272,0.3835,0.0276,0.9851
1,14,24.0,0.0,28.86,299.6,101620.3,1.182,347.01,29.76,0.1375,2.3859,0.1815,0.0319,0.4187,0.0308,1.0342
1,15,24.0,0.0,28.85,299.6,101624.1,1.181,347.02,29.89,0.1379,2.3745,0.1834,0.0325,0.4208,0.0314,1.0351
1,16,22.0,0.0,28.87,299.7,101622.6,1.181,347.04,29.64,0.1371,2.3971,0.1592,0.0277,0.3858,0.0280,0.9888
1,17,20.0,0.0,28.84,299.7,101619.9,1.181,347.05,29.44,0.1365,2.4106,0.1340,0.0231,0.3501,0.0250,0.9226
1,18,18.0,0.0,28.84,299.7,101624.7,1.181,347.07,29.21,0.1358,2.4299,0.1051,0.0178,0.3064,0.0214,0.8334
1,19,14.0,0.0,28.86,299.8,101623.0,1.181,347.12,30.61,0.1400,2.3201,0.0839,0.0156,0.2777,0.0222,0.7010
1,20,12.0,0.0,28.87,299.9,101630.7,1.181,347.16,29.41,0.1364,2.4156,0.0208,0.0036,0.1780,0.0126,0.2818
1,21,10.0,0.0,28.88,299.9,101628.8,1.180,347.17,29.72,0.1373,2.3911,0.0010,0.0002,0.1427,0.0104,0.0170
1,22,10.0,0.0,28.88,299.9,101628.9,1.180,347.19,29.59,0.1370,2.4008,-0.0028,-0.0005,0.1372,0.0099,-0.0501
1,23,8.0,0.0,28.85,300.0,101627.6,1.180,347.21,29.78,0.1375,2.3840,-0.0220,-0.0039,0.1023,0.0076,-0.5121
1,24,6.0,0.0,28.89,300.0,101628.5,1.180,347.23,29.82,0.1376,2.3839,-0.0399,-0.0070,0.0693,0.0051,-1.3734
1,25,4.0,0.0,28.84,300.0,101626.1,1.180,347.23,29.67,0.1371,2.3913,-0.0573,-0.0100,0.0353,0.0026,-3.8798
1,26,2.0,0.0,28.83,300.0,101626.1,1.180,347.25,29.76,0.1373,2.3835,-0.0582,-0.0103,0.0327,0.0024,-4.2460
1,27,0.0,0.0,28.84,300.1,101626.0,1.180,347.27,29.79,0.1374,2.3822,-0.0582,-0.0103,0.0326,0.0024,-4.2571
1,28,-2.0,0.0,28.83,300.1,101629.1,1.180,347.28,29.75,0.1373,2.3846,-0.0592,-0.0104,0.0307,0.0023,-4.6031
2,29,-2.0,0.0,29.00,299.7,101625.1,1.181,347.06,29.96,0.1383,2.3821,-0.0709,-0.0125,0.0301,0.0022,-5.6004
2,30,0.0,0.0,28.97,299.9,101625.1,1.180,347.17,29.97,0.1383,2.3787,-0.0681,-0.0120,0.0311,0.0023,-5.1986
