polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,712.5,0.0,12.01,293.4,101870.3,1.210,343.35,56.32,0.2123,0.5249,0.3103,1.1260,0.3261,2.2548,0.4994
1,2,644.9,0.0,11.98,293.8,101866.6,1.208,343.59,66.37,0.2491,0.4443,0.3248,1.6451,0.3302,3.7640,0.4371
1,3,580.2,0.0,12.00,293.7,101866.4,1.208,343.57,76.74,0.2873,0.3848,0.3321,2.2424,0.3367,5.9074,0.3796
1,4,550.4,0.0,12.02,293.4,101864.8,1.209,343.39,86.71,0.3243,0.3412,0.3381,2.9048,0.3462,8.7161,0.3333
1,5,534.2,0.0,11.98,293.0,101863.4,1.211,343.15,97.02,0.3627,0.3039,0.3425,3.7075,0.3574,12.7319,0.2912
1,6,477.8,0.0,11.99,293.1,101860.5,1.211,343.22,106.92,0.3993,0.2760,0.3419,4.4887,0.3648,17.3517,0.2587
1,7,463.7,0.0,12.01,293.3,101864.4,1.210,343.35,116.57,0.4349,0.2536,0.3432,5.3389,0.3694,22.6597,0.2356
1,8,471.7,0.0,12.01,293.4,101864.3,1.209,343.39,116.57,0.4348,0.2535,0.3432,5.3410,0.3695,22.6827,0.2355
1,9,499.7,0.0,12.00,293.5,101865.8,1.209,343.42,106.99,0.3993,0.2759,0.3421,4.4952,0.3655,17.4057,0.2583
1,10,513.7,0.0,12.03,293.2,101864.8,1.210,343.25,97.06,0.3627,0.3050,0.3440,3.6987,0.3585,12.6402,0.2926
1,11,546.5,0.0,12.02,293.0,101867.4,1.211,343.15,86.81,0.3249,0.3406,0.3393,2.9240,0.3473,8.7889,0.3327
1,12,589.4,0.0,12.00,293.0,101870.3,1.211,343.15,76.96,0.2885,0.3838,0.3334,2.2637,0.3378,5.9750,0.3789
1,13,619.8,0.0,11.99,293.1,101868.3,1.211,343.22,66.71,0.2506,0.4422,0.3275,1.6750,0.3318,3.8384,0.4364
1,14,685.5,0.0,12.02,293.3,101868.8,1.210,343.31,56.66,0.2136,0.5219,0.3146,1.1553,0.3285,2.3110,0.5000
2,15,729.2,0.0,11.99,292.6,102062.3,1.215,342.89,56.37,0.2128,0.5235,0.3092,1.1282,0.3256,2.2695,0.4972
2,16,706.4,0.0,12.00,292.9,102064.0,1.214,343.10,66.40,0.2495,0.4448,0.3238,1.6368,0.3297,3.7481,0.4367
2,17,615.4,0.0,12.02,293.2,102064.2,1.213,343.25,76.66,0.2873,0.3857,0.3307,2.2222,0.3370,5.8722,0.3784
2,18,563.1,0.0,11.98,293.4,102067.5,1.212,343.40,86.60,0.3238,0.3403,0.3360,2.9014,0.3473,8.8133,0.3292
2,19,544.2,0.0,11.98,293.6,102068.5,1.211,343.48,86.64,0.3239,0.3402,0.3365,2.9078,0.3475,8.8270,0.3294
2,20,525.7,0.0,12.00,293.6,102068.8,1.211,343.51,96.98,0.3621,0.3044,0.3412,3.6820,0.3582,12.6957,0.2900
2,21,487.0,0.0,12.01,293.5,102072.6,1.211,343.46,106.88,0.3988,0.2766,0.3404,4.4491,0.3651,17.2472,0.2580
2,22,457.0,0.0,11.99,293.1,102071.4,1.213,343.23,116.88,0.4362,0.2524,0.3419,5.3645,0.3697,22.9805,0.2334
