polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,0.0,0.0,25.01,296.2,101863.2,1.198,345.04,45.51,0.1833,1.3521,-0.0182,-0.0099,0.0556,0.0225,-0.4422
1,2,0.0,0.0,25.02,296.7,101864.8,1.196,345.31,47.59,0.1903,1.2936,0.0187,0.0112,0.0932,0.0430,0.2598
1,3,0.0,0.0,25.03,297.1,101864.3,1.195,345.53,51.91,0.2050,1.1865,0.0835,0.0593,0.1605,0.0961,0.6175
1,4,0.0,0.0,25.01,297.0,101863.0,1.195,345.51,56.36,0.2205,1.0918,0.1372,0.1151,0.2146,0.1649,0.6979
1,5,0.0,0.0,25.01,297.1,101860.7,1.194,345.54,61.91,0.2399,0.9938,0.1865,0.1889,0.2590,0.2638,0.7159
1,6,0.0,0.0,25.01,297.1,101859.0,1.194,345.54,68.70,0.2640,0.8959,0.2277,0.2837,0.2895,0.4025,0.7049
1,7,0.0,0.0,25.02,297.1,101858.5,1.194,345.55,77.48,0.2953,0.7945,0.2603,0.4123,0.3075,0.6132,0.6724
1,8,0.0,0.0,25.03,297.1,101858.1,1.194,345.55,88.05,0.3333,0.6994,0.2855,0.5836,0.3188,0.9319,0.6262
1,9,0.0,0.0,25.05,297.1,101857.9,1.194,345.56,103.10,0.3878,0.5977,0.3139,0.8785,0.3308,1.5490,0.5672
1,10,0.0,0.0,25.06,297.2,101858.2,1.194,345.57,112.21,0.4209,0.5496,0.3268,1.0820,0.3358,2.0228,0.5349
1,11,0.0,0.0,25.06,297.2,101858.0,1.194,345.58,123.56,0.4622,0.4991,0.3394,1.3625,0.3412,2.7437,0.4966
1,12,0.0,0.0,25.02,297.2,101858.5,1.194,345.58,137.80,0.5142,0.4467,0.3504,1.7560,0.3507,3.9338,0.4464
1,13,0.0,0.0,25.03,297.2,101859.4,1.194,345.59,137.38,0.5127,0.4482,0.3503,1.7437,0.3504,3.8912,0.4481
1,14,0.0,0.0,24.99,297.2,101859.8,1.194,345.60,123.53,0.4621,0.4978,0.3403,1.3732,0.3417,2.7703,0.4957
1,15,0.0,0.0,24.98,297.2,101857.1,1.194,345.60,112.19,0.4207,0.5478,0.3279,1.0926,0.3368,2.0481,0.5335
1,16,0.0,0.0,24.96,297.2,101856.0,1.194,345.60,102.45,0.3853,0.5994,0.3138,0.8734,0.3316,1.5396,0.5673
1,17,0.0,0.0,24.96,297.2,101856.7,1.194,345.62,87.39,0.3308,0.7029,0.2857,0.5782,0.3198,0.9210,0.6278
1,18,0.0,0.0,25.00,297.2,101857.0,1.194,345.61,76.79,0.2928,0.8012,0.2599,0.4048,0.3079,0.5987,0.6761
1,19,0.0,0.0,24.97,297.2,101855.1,1.194,345.62,67.99,0.2613,0.9037,0.2266,0.2774,0.2889,0.3914,0.7089
1,20,0.0,0.0,25.01,297.2,101852.4,1.194,345.61,61.28,0.2377,1.0040,0.1831,0.1816,0.2560,0.2530,0.7179
1,21,0.0,0.0,25.00,297.3,101850.9,1.194,345.63,55.73,0.2182,1.1040,0.1317,0.1080,0.2090,0.1553,0.6954
