polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,691.0,0.0,6.02,292.7,101840.4,1.212,342.98,56.53,0.2112,0.2620,0.3224,4.6975,0.3653,20.3207,0.2312
1,2,624.4,0.0,6.00,293.0,101838.8,1.211,343.12,66.57,0.2483,0.2216,0.3269,6.6569,0.3709,34.0735,0.1954
1,3,616.5,0.0,6.01,293.2,101837.4,1.210,343.26,76.41,0.2847,0.1935,0.3309,8.8363,0.3739,51.5962,0.1713
1,4,563.9,0.0,5.99,293.2,101837.6,1.210,343.29,86.43,0.3219,0.1705,0.3334,11.4691,0.3758,75.8303,0.1512
1,5,519.8,0.0,6.01,293.2,101834.4,1.210,343.26,96.62,0.3598,0.1531,0.3354,14.3131,0.3777,105.2904,0.1359
1,6,491.5,0.0,5.98,293.1,101837.4,1.210,343.20,106.96,0.3983,0.1376,0.3372,17.8049,0.3787,145.2722,0.1226
1,7,493.2,0.0,6.00,293.1,101834.5,1.210,343.22,116.89,0.4352,0.1264,0.3406,21.3210,0.3778,187.1358,0.1139
1,8,465.5,0.0,6.00,293.1,101837.8,1.210,343.23,116.91,0.4352,0.1263,0.3406,21.3493,0.3778,187.5046,0.1139
1,9,500.4,0.0,5.98,293.2,101835.8,1.210,343.26,106.36,0.3960,0.1384,0.3378,17.6264,0.3790,142.8603,0.1234
1,10,527.6,0.0,6.00,293.2,101836.4,1.210,343.29,96.64,0.3598,0.1529,0.3368,14.4077,0.3786,105.9454,0.1360
1,11,565.1,0.0,5.99,293.3,101837.1,1.210,343.32,86.11,0.3207,0.1710,0.3349,11.4490,0.3779,75.5236,0.1516
1,12,584.4,0.0,6.01,293.4,101837.4,1.209,343.37,76.75,0.2859,0.1928,0.3326,8.9485,0.3747,52.3013,0.1711
1,13,663.3,0.0,6.00,293.3,101837.0,1.209,343.34,67.13,0.2502,0.2201,0.3304,6.8230,0.3721,34.9188,0.1954
1,14,671.8,0.0,5.99,293.3,101835.0,1.210,343.30,57.07,0.2130,0.2584,0.3277,4.9101,0.3677,21.3246,0.2303
2,15,698.6,0.0,6.01,292.2,101952.4,1.216,342.68,56.69,0.2119,0.2608,0.3216,4.7267,0.3659,20.6192,0.2292
2,16,714.7,0.0,6.02,292.6,101950.0,1.214,342.94,66.76,0.2491,0.2219,0.3270,6.6391,0.3714,33.9702,0.1954
2,17,558.5,0.0,5.99,292.8,101949.4,1.213,343.04,77.24,0.2880,0.1908,0.3306,9.0770,0.3744,53.8576,0.1685
2,18,558.8,0.0,6.01,293.0,101945.1,1.212,343.16,87.12,0.3246,0.1698,0.3328,11.5441,0.3765,76.9257,0.1501
2,19,524.3,0.0,5.98,293.2,101947.0,1.211,343.25,97.16,0.3618,0.1515,0.3348,14.5811,0.3783,108.7131,0.1341
2,20,518.8,0.0,6.01,293.2,101949.5,1.211,343.29,106.84,0.3977,0.1383,0.3370,17.6166,0.3792,143.3341,0.1229
2,21,485.3,0.0,6.03,293.3,101953.3,1.211,343.33,116.79,0.4347,0.1270,0.3395,21.0465,0.3784,184.6926,0.1140
