polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
2,49,0.0,0.0,14.99,293.3,101353.5,1.204,343.35,33.87,0.1333,1.0889,0.1062,0.0895,0.1911,0.1480,0.6051
2,50,0.0,0.0,14.99,293.5,101352.9,1.203,343.43,30.60,0.1218,1.2056,0.0438,0.0301,0.1289,0.0736,0.4094
2,51,0.0,0.0,14.99,293.4,101351.8,1.203,343.40,28.11,0.1133,1.3121,-0.0099,-0.0057,0.0747,0.0331,-0.1730
2,52,0.0,0.0,14.99,293.3,101352.9,1.204,343.31,26.92,0.1092,1.3701,-0.0426,-0.0227,0.0412,0.0160,-1.4185
3,53,0.0,0.0,15.01,295.1,101158.0,1.194,344.37,26.93,0.1089,1.3711,-0.0608,-0.0324,0.0398,0.0154,-2.0968
3,54,0.0,0.0,15.00,294.6,101156.3,1.196,344.11,28.09,0.1130,1.3140,-0.0233,-0.0135,0.0738,0.0325,-0.4149
3,55,0.0,0.0,14.99,294.7,101154.0,1.196,344.17,30.41,0.1209,1.2131,0.0338,0.0230,0.1255,0.0703,0.3267
3,56,0.0,0.0,15.00,294.7,101153.9,1.196,344.12,33.74,0.1326,1.0940,0.1019,0.0851,0.1884,0.1439,0.5918
3,57,0.0,0.0,15.00,294.6,101154.0,1.196,344.11,37.04,0.1442,0.9966,0.1572,0.1583,0.2371,0.2396,0.6608
3,58,0.0,0.0,15.01,294.5,101153.7,1.197,344.02,41.31,0.1594,0.8940,0.2132,0.2668,0.2826,0.3955,0.6745
3,59,0.0,0.0,15.02,294.0,101154.6,1.198,343.76,46.00,0.1764,0.8033,0.2482,0.3845,0.3052,0.5887,0.6532
3,60,0.0,0.0,15.02,293.8,101155.9,1.199,343.61,52.43,0.1997,0.7047,0.2750,0.5537,0.3152,0.9007,0.6148
3,61,0.0,0.0,15.02,293.6,101156.3,1.200,343.52,61.79,0.2338,0.5982,0.3011,0.8413,0.3232,1.5098,0.5572
3,62,0.0,0.0,15.02,293.7,101157.0,1.200,343.54,67.14,0.2533,0.5506,0.3131,1.0329,0.3263,1.9547,0.5284
3,63,0.0,0.0,14.99,293.7,101157.7,1.200,343.56,74.19,0.2792,0.4971,0.3254,1.3170,0.3290,2.6790,0.4916
3,64,0.0,0.0,15.00,293.7,101158.9,1.200,343.56,82.34,0.3091,0.4481,0.3352,1.6693,0.3315,3.6831,0.4532
3,65,0.0,0.0,15.01,293.7,101160.2,1.200,343.55,92.39,0.3461,0.3998,0.3433,2.1484,0.3363,5.2636,0.4082
3,66,0.0,0.0,15.02,293.6,101161.0,1.200,343.48,92.40,0.3462,0.3999,0.3433,2.1470,0.3364,5.2616,0.4081
3,67,0.0,0.0,15.00,293.3,101161.0,1.201,343.33,81.51,0.3063,0.4528,0.3349,1.6330,0.3318,3.5725,0.4571
3,68,0.0,0.0,14.99,293.2,101160.0,1.202,343.28,73.30,0.2761,0.5032,0.3246,1.2822,0.3294,2.5855,0.4959
3,69,0.0,0.0,14.98,293.4,101158.1,1.201,343.36,66.23,0.2501,0.5566,0.3124,1.0085,0.3266,1.8942,0.5324
3,70,0.0,0.0,14.97,293.6,101158.1,1.200,343.50,60.88,0.2304,0.6049,0.3006,0.8215,0.3232,1.4603,0.5626
3,71,0.0,0.0,15.02,293.4,101157.4,1.201,343.41,52.64,0.2005,0.7020,0.2770,0.5621,0.3163,0.9142,0.6150
3,72,0.0,0.0,15.00,293.6,101158.2,1.200,343.51,46.31,0.1776,0.7968,0.2515,0.3961,0.3068,0.6063,0.6532
3,73,0.0,0.0,15.00,293.7,101159.5,1.200,343.58,40.37,0.1562,0.9142,0.2030,0.2428,0.2754,0.3604,0.6739
3,74,0.0,0.0,14.99,293.8,101160.0,1.200,343.59,37.20,0.1449,0.9915,0.1604,0.1632,0.2393,0.2455,0.6648
3,75,0.0,0.0,14.99,293.7,101159.0,1.200,343.59,33.92,0.1334,1.0871,0.1084,0.0917,0.1917,0.1492,0.6147
3,76,0.0,0.0,14.99,293.4,101157.8,1.201,343.38,30.58,0.1218,1.2062,0.0422,0.0290,0.1282,0.0731,0.3970
3,77,0.0,0.0,14.99,293.2,101156.5,1.202,343.28,28.09,0.1132,1.3130,-0.0155,-0.0090,0.0743,0.0328,-0.2732
3,78,0.0,0.0,14.99,293.1,101155.1,1.202,343.23,26.98,0.1094,1.3667,-0.0415,-0.0222,0.0425,0.0166,-1.3355
