polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,0.0,0.0,9.98,293.4,101825.2,1.209,343.38,17.67,0.0719,1.3893,-0.0762,-0.0395,0.0234,0.0087,-4.5528
1,2,0.0,0.0,9.98,293.2,101826.0,1.210,343.25,19.21,0.0771,1.2783,-0.0111,-0.0068,0.0872,0.0417,-0.1632
1,3,0.0,0.0,9.98,293.0,101824.0,1.211,343.15,20.98,0.0833,1.1700,0.0458,0.0334,0.1383,0.0863,0.3876
1,4,0.0,0.0,9.97,293.1,101825.1,1.210,343.21,22.68,0.0892,1.0821,0.0904,0.0772,0.1753,0.1383,0.5581
1,5,0.0,0.0,9.97,293.4,101825.3,1.209,343.38,24.13,0.0943,1.0169,0.1262,0.1220,0.2069,0.1968,0.6203
1,6,0.0,0.0,9.98,293.5,101827.0,1.209,343.43,26.84,0.1039,0.9144,0.1787,0.2138,0.2547,0.3331,0.6417
1,7,0.0,0.0,9.99,293.1,101828.8,1.210,343.22,30.80,0.1182,0.7977,0.2388,0.3753,0.3034,0.5977,0.6280
1,8,0.0,0.0,9.99,293.0,101828.9,1.211,343.12,35.63,0.1357,0.6896,0.2700,0.5678,0.3147,0.9597,0.5916
1,9,0.0,0.0,9.99,293.4,101827.0,1.209,343.37,41.83,0.1582,0.5878,0.2950,0.8536,0.3203,1.5767,0.5414
1,10,0.0,0.0,9.99,293.6,101825.6,1.208,343.49,44.69,0.1686,0.5503,0.3029,1.0003,0.3223,1.9345,0.5171
1,11,0.0,0.0,10.01,293.2,101823.6,1.210,343.25,48.78,0.1838,0.5048,0.3088,1.2118,0.3258,2.5333,0.4784
1,12,0.0,0.0,10.01,292.8,101822.5,1.211,343.05,55.02,0.2069,0.4476,0.3165,1.5793,0.3290,3.6677,0.4306
1,13,0.0,0.0,10.02,293.0,101824.4,1.211,343.15,61.77,0.2317,0.3991,0.3222,2.0236,0.3335,5.2477,0.3856
1,14,0.0,0.0,10.01,293.2,101825.0,1.210,343.29,61.84,0.2318,0.3984,0.3226,2.0320,0.3334,5.2712,0.3855
1,15,0.0,0.0,10.00,293.6,101825.1,1.208,343.50,55.19,0.2072,0.4459,0.3184,1.6010,0.3289,3.7092,0.4317
1,16,0.0,0.0,10.00,293.7,101824.7,1.208,343.53,48.93,0.1842,0.5028,0.3116,1.2324,0.3262,2.5657,0.4804
1,17,0.0,0.0,10.00,293.0,101824.9,1.211,343.17,44.80,0.1692,0.5493,0.3033,1.0052,0.3249,1.9606,0.5127
1,18,0.0,0.0,10.00,292.7,101823.8,1.212,343.00,41.95,0.1589,0.5862,0.2945,0.8569,0.3233,1.6048,0.5340
1,19,0.0,0.0,9.98,293.2,101820.8,1.210,343.26,34.20,0.1305,0.7182,0.2665,0.5166,0.3161,0.8531,0.6056
1,20,0.0,0.0,9.98,293.6,101818.2,1.208,343.50,30.97,0.1187,0.7927,0.2441,0.3885,0.3074,0.6172,0.6294
1,21,0.0,0.0,9.97,293.7,101818.0,1.208,343.58,26.97,0.1044,0.9098,0.1826,0.2205,0.2600,0.3453,0.6388
1,22,0.0,0.0,9.98,293.2,101818.4,1.210,343.29,24.16,0.0944,1.0167,0.1232,0.1192,0.2114,0.2012,0.5924
1,23,0.0,0.0,9.98,292.7,101819.9,1.212,342.98,22.58,0.0889,1.0876,0.0804,0.0680,0.1771,0.1376,0.4939
1,24,0.0,0.0,9.97,292.9,101820.0,1.211,343.11,20.84,0.0828,1.1765,0.0386,0.0279,0.1395,0.0857,0.3261
1,25,0.0,0.0,9.97,293.3,101820.9,1.209,343.35,19.08,0.0766,1.2855,-0.0119,-0.0072,0.0876,0.0412,-0.1742
1,26,0.0,0.0,9.96,293.7,101820.4,1.208,343.55,17.58,0.0715,1.3948,-0.0679,-0.0349,0.0257,0.0095,-3.6959
2,27,0.0,0.0,10.01,293.3,101397.9,1.204,343.32,17.66,0.0719,1.3944,-0.0975,-0.0501,0.0284,0.0105,-4.8755
2,28,0.0,0.0,10.01,293.1,101398.2,1.205,343.22,19.23,0.0772,1.2804,-0.0178,-0.0109,0.0931,0.0444,-0.2448
2,29,0.0,0.0,10.00,293.4,101400.0,1.204,343.39,20.93,0.0831,1.1758,0.0463,0.0335,0.1429,0.0879,0.3816
2,30,0.0,0.0,10.01,293.4,101401.9,1.204,343.36,22.71,0.0893,1.0841,0.0940,0.0800,0.1820,0.1429,0.5599
2,31,0.0,0.0,10.01,293.5,101404.2,1.204,343.43,24.18,0.0945,1.0185,0.1318,0.1270,0.2135,0.2020,0.6288
2,32,0.0,0.0,10.01,293.0,101407.5,1.206,343.14,26.90,0.1043,0.9157,0.1816,0.2165,0.2606,0.3394,0.6380
2,33,0.0,0.0,10.01,293.2,101408.2,1.205,343.28,30.83,0.1183,0.7990,0.2442,0.3826,0.3089,0.6056,0.6318
2,34,0.0,0.0,9.97,293.5,101408.0,1.204,343.45,35.72,0.1359,0.6871,0.2765,0.5856,0.3196,0.9850,0.5945
2,35,0.0,0.0,10.00,293.4,101408.0,1.204,343.39,41.86,0.1583,0.5879,0.2971,0.8595,0.3245,1.5971,0.5382
2,36,0.0,0.0,10.03,293.0,101408.1,1.206,343.16,44.64,0.1686,0.5531,0.3034,0.9917,0.3259,1.9261,0.5149
2,37,0.0,0.0,9.99,293.0,101408.0,1.206,343.15,48.78,0.1838,0.5038,0.3114,1.2268,0.3270,2.5565,0.4799
2,38,0.0,0.0,10.00,293.3,101407.8,1.204,343.35,55.22,0.2074,0.4454,0.3192,1.6087,0.3296,3.7285,0.4315
2,39,0.0,0.0,10.01,293.5,101408.6,1.204,343.45,61.98,0.2323,0.3973,0.3236,2.0506,0.3344,5.3329,0.3845
2,40,0.0,0.0,10.05,293.1,101409.0,1.205,343.22,61.99,0.2324,0.3990,0.3233,2.0311,0.3343,5.2631,0.3859
2,41,0.0,0.0,10.00,292.9,101411.0,1.206,343.10,54.10,0.2034,0.4547,0.3178,1.5376,0.3295,3.5063,0.4385
2,42,0.0,0.0,9.98,293.3,101412.0,1.205,343.31,49.00,0.1845,0.5014,0.3125,1.2431,0.3273,2.5969,0.4787
2,43,0.0,0.0,9.94,293.6,101413.8,1.203,343.50,44.92,0.1694,0.5444,0.3063,1.0334,0.3258,2.0189,0.5119
2,44,0.0,0.0,9.94,293.6,101416.3,1.203,343.49,40.53,0.1534,0.6034,0.2941,0.8078,0.3236,1.4730,0.5485
2,45,0.0,0.0,9.98,292.9,101418.5,1.206,343.09,35.84,0.1365,0.6852,0.2744,0.5846,0.3195,0.9933,0.5886
2,46,0.0,0.0,9.97,292.9,101420.1,1.206,343.08,32.57,0.1246,0.7537,0.2568,0.4522,0.3150,0.7359,0.6144
2,47,0.0,0.0,9.96,293.3,101421.0,1.205,343.30,26.94,0.1043,0.9101,0.1826,0.2204,0.2616,0.3470,0.6353
2,48,0.0,0.0,9.92,293.6,101422.0,1.203,343.52,24.10,0.0941,1.0126,0.1316,0.1284,0.2147,0.2068,0.6208
