polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,765.3,0.0,18.01,294.2,101922.2,1.207,343.85,56.83,0.2174,0.7800,0.2578,0.4238,0.3079,0.6489,0.6531
1,2,620.7,0.0,18.00,293.9,101920.7,1.208,343.65,66.48,0.2525,0.6662,0.2866,0.6459,0.3188,1.0783,0.5990
1,3,625.8,0.0,17.99,293.4,101928.2,1.210,343.41,76.92,0.2908,0.5754,0.3102,0.9369,0.3271,1.7166,0.5458
1,4,552.2,0.0,18.01,293.4,101931.0,1.210,343.40,86.87,0.3272,0.5103,0.3266,1.2542,0.3321,2.4997,0.5017
1,5,516.9,0.0,18.02,293.1,101935.1,1.212,343.18,96.96,0.3645,0.4573,0.3385,1.6186,0.3364,3.5176,0.4601
1,6,482.9,0.0,17.99,293.2,101940.4,1.211,343.28,106.54,0.3997,0.4155,0.3472,2.0112,0.3410,4.7551,0.4230
1,7,461.5,0.0,18.00,293.5,101940.4,1.210,343.41,116.85,0.4376,0.3791,0.3543,2.4658,0.3491,6.4102,0.3847
1,8,459.5,0.0,18.01,293.5,101942.0,1.210,343.44,116.90,0.4377,0.3790,0.3541,2.4647,0.3490,6.4082,0.3846
1,9,475.3,0.0,18.00,293.5,101941.6,1.210,343.41,106.55,0.3996,0.4157,0.3478,2.0124,0.3418,4.7576,0.4230
1,10,515.6,0.0,18.01,293.5,101943.4,1.210,343.47,97.09,0.3647,0.4565,0.3393,1.6279,0.3370,3.5421,0.4596
1,11,559.6,0.0,18.01,293.5,101941.4,1.210,343.44,86.95,0.3275,0.5098,0.3275,1.2602,0.3331,2.5150,0.5011
1,12,594.0,0.0,18.00,293.2,101941.6,1.211,343.29,76.98,0.2911,0.5753,0.3114,0.9406,0.3284,1.7243,0.5455
1,13,705.8,0.0,17.99,293.1,101944.4,1.212,343.21,66.61,0.2533,0.6645,0.2881,0.6524,0.3204,1.0919,0.5975
1,14,776.6,0.0,17.98,293.1,101941.0,1.212,343.22,56.92,0.2181,0.7770,0.2599,0.4305,0.3101,0.6610,0.6513
2,15,694.4,0.0,17.99,293.1,102044.2,1.213,343.21,56.65,0.2172,0.7815,0.2551,0.4177,0.3077,0.6446,0.6479
2,16,707.3,0.0,18.01,293.6,102047.3,1.211,343.51,67.39,0.2559,0.6575,0.2882,0.6667,0.3197,1.1247,0.5929
2,17,592.0,0.0,17.99,293.4,102048.0,1.212,343.39,76.83,0.2904,0.5761,0.3099,0.9337,0.3273,1.7112,0.5456
2,18,559.2,0.0,18.00,293.4,102048.9,1.212,343.38,86.82,0.3270,0.5101,0.3265,1.2547,0.3319,2.5004,0.5018
2,19,522.1,0.0,18.01,293.4,102051.3,1.212,343.41,96.99,0.3644,0.4569,0.3389,1.6235,0.3361,3.5238,0.4607
2,20,488.6,0.0,18.03,293.2,102049.5,1.213,343.25,107.11,0.4018,0.4141,0.3474,2.0252,0.3408,4.7980,0.4221
2,21,505.6,0.0,17.99,293.0,102048.9,1.213,343.14,107.04,0.4017,0.4136,0.3481,2.0351,0.3414,4.8270,0.4216
2,22,471.1,0.0,17.99,293.1,102047.6,1.213,343.23,116.85,0.4378,0.3789,0.3540,2.4664,0.3481,6.4025,0.3852
