polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,960.6,0.0,18.00,294.2,102607.1,1.215,343.87,57.01,0.2180,0.7771,0.0455,0.0753,0.0811,0.1729,0.4355
1,2,831.7,0.0,17.99,293.5,102604.0,1.218,343.43,67.83,0.2575,0.6528,0.1141,0.2679,0.1232,0.4428,0.6049
1,3,693.2,0.0,18.00,293.4,102604.0,1.218,343.36,77.09,0.2914,0.5744,0.1521,0.4609,0.1433,0.7560,0.6097
1,4,640.5,0.0,18.00,293.6,102603.1,1.217,343.51,87.43,0.3292,0.5067,0.1815,0.7071,0.1568,1.2056,0.5865
1,5,590.3,0.0,18.01,293.7,102601.2,1.217,343.57,97.23,0.3651,0.4558,0.2017,0.9709,0.1651,1.7438,0.5568
1,6,547.6,0.0,17.99,293.5,102600.0,1.218,343.43,107.34,0.4025,0.4124,0.2172,1.2774,0.1709,2.4369,0.5242
1,7,525.9,0.0,17.99,293.3,102598.6,1.219,343.31,116.72,0.4372,0.3794,0.2282,1.5858,0.1745,3.1961,0.4962
1,8,492.3,0.0,18.00,293.5,102598.0,1.218,343.47,127.01,0.4750,0.3488,0.2387,1.9618,0.1779,4.1930,0.4679
1,9,487.3,0.0,18.00,293.6,102599.0,1.217,343.50,126.98,0.4749,0.3488,0.2385,1.9607,0.1778,4.1918,0.4678
1,10,527.8,0.0,17.99,293.7,102598.3,1.217,343.55,116.79,0.4372,0.3790,0.2290,1.5946,0.1749,3.2130,0.4963
1,11,565.1,0.0,17.99,293.8,102599.0,1.217,343.61,107.59,0.4032,0.4114,0.2180,1.2882,0.1713,2.4593,0.5238
1,12,580.6,0.0,18.01,294.0,102598.0,1.216,343.74,97.62,0.3664,0.4540,0.2024,0.9820,0.1655,1.7683,0.5554
1,13,631.7,0.0,18.00,294.0,102598.5,1.216,343.76,86.59,0.3258,0.5115,0.1801,0.6883,0.1564,1.1685,0.5891
1,14,672.3,0.0,18.04,294.1,102599.1,1.215,343.78,77.54,0.2927,0.5724,0.1540,0.4702,0.1445,0.7704,0.6103
1,15,804.0,0.0,18.03,293.5,102600.1,1.218,343.42,66.69,0.2534,0.6651,0.1081,0.2443,0.1204,0.4091,0.5971
1,16,1022.3,0.0,18.01,293.3,102601.0,1.218,343.34,57.14,0.2189,0.7755,0.0457,0.0759,0.0833,0.1786,0.4252
2,17,954.6,0.0,18.00,293.0,102416.9,1.218,343.16,57.07,0.2187,0.7758,0.0437,0.0725,0.0822,0.1760,0.4123
2,18,838.6,0.0,18.01,293.5,102416.2,1.215,343.46,68.08,0.2584,0.6509,0.1134,0.2676,0.1230,0.4462,0.5998
2,19,706.6,0.0,18.03,293.5,102415.1,1.215,343.46,77.45,0.2927,0.5726,0.1512,0.4609,0.1431,0.7622,0.6048
2,20,649.7,0.0,17.99,293.3,102412.7,1.216,343.35,86.47,0.3258,0.5120,0.1774,0.6770,0.1554,1.1577,0.5848
2,21,611.3,0.0,18.00,293.5,102413.0,1.216,343.42,97.54,0.3664,0.4541,0.2007,0.9733,0.1647,1.7588,0.5534
2,22,584.6,0.0,18.01,293.5,102412.0,1.216,343.45,107.61,0.4035,0.4119,0.2165,1.2764,0.1704,2.4390,0.5233
2,23,523.8,0.0,17.99,293.3,102408.7,1.216,343.31,116.83,0.4376,0.3788,0.2276,1.5861,0.1743,3.2054,0.4948
2,24,497.9,0.0,18.00,293.1,102409.0,1.217,343.20,127.07,0.4756,0.3485,0.2375,1.9549,0.1775,4.1921,0.4663
