polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,802.9,0.0,12.00,292.3,102804.0,1.225,342.71,57.33,0.2164,0.5151,0.1578,0.5950,0.1464,1.0713,0.5554
1,2,661.4,0.0,12.01,292.7,102805.0,1.224,342.96,66.92,0.2516,0.4416,0.1927,0.9879,0.1619,1.8795,0.5256
1,3,725.9,0.0,12.02,293.1,102805.8,1.222,343.22,77.31,0.2897,0.3827,0.2182,1.4893,0.1708,3.0461,0.4889
1,4,628.9,0.0,11.99,293.6,102808.3,1.220,343.49,87.40,0.3267,0.3376,0.2337,2.0511,0.1748,4.5446,0.4513
1,5,564.7,0.0,12.00,293.7,102810.0,1.219,343.57,96.60,0.3607,0.3057,0.2436,2.6077,0.1768,6.1924,0.4211
1,6,517.6,0.0,11.98,293.7,102811.0,1.220,343.53,107.29,0.4003,0.2748,0.2530,3.3509,0.1792,8.6365,0.3880
1,7,498.0,0.0,12.00,293.4,102814.4,1.221,343.36,116.69,0.4353,0.2530,0.2590,4.0469,0.1808,11.1682,0.3624
1,8,474.3,0.0,12.01,293.2,102820.0,1.222,343.26,127.08,0.4740,0.2326,0.2647,4.8935,0.1828,14.5267,0.3369
1,9,490.0,0.0,12.01,293.1,102819.0,1.222,343.23,127.12,0.4741,0.2324,0.2647,4.8993,0.1828,14.5567,0.3366
1,10,497.7,0.0,12.00,293.1,102820.4,1.222,343.22,116.82,0.4360,0.2527,0.2592,4.0598,0.1810,11.2210,0.3618
1,11,544.5,0.0,12.01,293.2,102819.0,1.222,343.27,107.48,0.4013,0.2751,0.2533,3.3487,0.1801,8.6564,0.3869
1,12,569.9,0.0,12.01,293.3,102819.8,1.221,343.31,96.97,0.3623,0.3047,0.2451,2.6392,0.1776,6.2749,0.4206
1,13,622.4,0.0,12.00,293.2,102819.5,1.221,343.29,86.47,0.3235,0.3416,0.2340,2.0050,0.1752,4.3956,0.4561
1,14,657.2,0.0,11.99,293.1,102818.0,1.222,343.19,76.54,0.2869,0.3854,0.2192,1.4755,0.1716,2.9975,0.4923
1,15,795.3,0.0,11.98,292.9,102819.1,1.223,343.11,65.94,0.2479,0.4469,0.1943,0.9725,0.1628,1.8240,0.5332
1,16,798.1,0.0,12.01,293.0,102821.3,1.223,343.14,56.26,0.2122,0.5251,0.1583,0.5740,0.1471,1.0164,0.5649
2,17,816.4,0.0,12.00,293.1,102438.9,1.218,343.18,56.30,0.2123,0.5243,0.1543,0.5611,0.1458,1.0111,0.5550
2,18,772.6,0.0,11.97,293.3,102436.6,1.217,343.30,67.43,0.2532,0.4369,0.1952,1.0224,0.1633,1.9576,0.5223
2,19,645.0,0.0,11.99,293.5,102433.3,1.216,343.42,76.55,0.2867,0.3853,0.2165,1.4582,0.1704,2.9786,0.4896
2,20,617.1,0.0,12.00,293.5,102434.0,1.216,343.43,88.03,0.3291,0.3355,0.2335,2.0742,0.1745,4.6224,0.4487
2,21,556.6,0.0,12.02,293.2,102430.0,1.217,343.25,97.11,0.3629,0.3045,0.2431,2.6223,0.1767,6.2597,0.4189
2,22,533.1,0.0,12.03,292.9,102429.1,1.218,343.11,107.66,0.4021,0.2749,0.2518,3.3320,0.1789,8.6097,0.3870
2,23,495.4,0.0,11.99,293.4,102426.3,1.216,343.41,117.27,0.4374,0.2516,0.2587,4.0867,0.1807,11.3405,0.3604
2,24,478.5,0.0,12.00,293.6,102426.1,1.215,343.50,126.74,0.4724,0.2331,0.2643,4.8662,0.1822,14.3975,0.3380
