polar,DPN,AoA,AoS,V_inf,T_inf,p_inf,rho_inf,a_inf,n,Mtip,J,CT,TC,CP,PC,ETA
[-],[-],[deg],[deg],[m/s],[K],[Pa],[kg/m3],[m/s],[1/s],[-],[-],[-],[-],[-],[-],[-]
1,1,737.5,0.0,6.00,292.7,102732.0,1.223,342.97,56.80,0.2122,0.2598,0.2425,3.5922,0.1770,10.0914,0.3560
1,2,650.5,0.0,6.01,293.2,102733.0,1.221,343.26,66.20,0.2468,0.2234,0.2540,5.0882,0.1780,15.9588,0.3188
1,3,610.4,0.0,6.03,293.6,102736.0,1.219,343.49,76.27,0.2840,0.1944,0.2626,6.9461,0.1785,24.2828,0.2861
1,4,617.8,0.0,6.00,293.7,102737.0,1.219,343.55,86.69,0.3226,0.1704,0.2691,9.2671,0.1791,36.2090,0.2559
1,5,542.1,0.0,6.02,293.0,102740.0,1.222,343.15,96.18,0.3583,0.1540,0.2745,11.5832,0.1807,49.5260,0.2339
1,6,506.1,0.0,5.99,292.9,102740.1,1.222,343.09,106.93,0.3983,0.1377,0.2786,14.6883,0.1814,69.4422,0.2115
1,7,484.5,0.0,6.01,293.1,102741.0,1.221,343.21,117.48,0.4374,0.1260,0.2826,17.8123,0.1828,91.4612,0.1948
1,8,445.3,0.0,6.03,293.3,102741.0,1.220,343.33,126.94,0.4724,0.1169,0.2863,20.9698,0.1843,115.5058,0.1815
1,9,468.4,0.0,6.03,293.4,102741.0,1.220,343.38,127.03,0.4726,0.1168,0.2860,20.9538,0.1841,115.4075,0.1816
1,10,495.9,0.0,6.02,293.5,102741.0,1.219,343.44,117.62,0.4376,0.1259,0.2833,17.8843,0.1830,91.8176,0.1948
1,11,521.0,0.0,6.00,293.6,102741.0,1.219,343.47,107.10,0.3985,0.1378,0.2795,14.7138,0.1818,69.4583,0.2118
1,12,555.5,0.0,5.98,293.5,102741.0,1.219,343.44,96.41,0.3588,0.1527,0.2755,11.8123,0.1810,50.8247,0.2324
1,13,573.8,0.0,6.01,293.3,102741.0,1.220,343.33,87.04,0.3241,0.1699,0.2706,9.3725,0.1803,36.7461,0.2551
1,14,620.2,0.0,5.99,293.1,102741.0,1.221,343.21,76.61,0.2855,0.1925,0.2644,7.1386,0.1800,25.2427,0.2828
1,15,638.4,0.0,5.98,292.9,102741.0,1.222,343.09,66.63,0.2486,0.2209,0.2565,5.2578,0.1796,16.6671,0.3155
1,16,712.0,0.0,6.01,292.8,102741.0,1.222,343.04,57.72,0.2155,0.2563,0.2483,3.7792,0.1798,10.6760,0.3540
2,17,708.5,0.0,6.00,291.8,102459.8,1.223,342.42,57.23,0.2141,0.2580,0.2413,3.6266,0.1768,10.2962,0.3522
2,18,658.7,0.0,6.00,291.9,102461.0,1.223,342.49,66.40,0.2481,0.2225,0.2524,5.0963,0.1775,16.1038,0.3165
2,19,611.1,0.0,6.02,292.2,102458.2,1.222,342.66,76.36,0.2851,0.1940,0.2610,6.9320,0.1783,24.4012,0.2841
2,20,590.6,0.0,5.99,292.4,102457.9,1.221,342.81,86.69,0.3233,0.1700,0.2681,9.2805,0.1793,36.5188,0.2541
2,21,554.1,0.0,6.01,292.7,102456.4,1.219,343.00,97.37,0.3629,0.1519,0.2737,11.8669,0.1803,51.4507,0.2307
2,22,522.1,0.0,6.03,292.9,102454.2,1.218,343.11,107.00,0.3986,0.1386,0.2778,14.4682,0.1815,68.2000,0.2121
2,23,497.8,0.0,6.00,293.1,102450.4,1.217,343.23,116.59,0.4340,0.1267,0.2820,17.5687,0.1824,89.7250,0.1958
2,24,462.9,0.0,6.02,293.3,102448.6,1.217,343.31,127.03,0.4727,0.1167,0.2856,20.9772,0.1840,115.8564,0.1811
